Notes_GF,Audio_File_Name,Number_Sentences,Number_LoLexConstrSentences,Number_MedLexConstrSentences,Number_HiLexConstrSentences,TargID_GM,targ,targ_Type,POS,Definition1,Definition1_Source,Definition2,Definition2_Source,Synonyms,Antonyms,Hypernyms,SisterConcepts,Synonym1,Syn1_FSG,Syn1_BSG,Syn1_MESA,Syn1_LSA,Syn1_EAT,Synonym2,Syn2_FSG,Syn2_BSG,Syn2_MESA,Syn2_LSA,Syn2_EAT,Synonym3,Syn3_FSG,Syn3_BSG,Syn3_MESA,Syn3_LSA,Syn3_EAT,MRC_NLET,MRC_NPHN,MRC_NSYL,MRC_BFRQ,MRC_KFFRQ,MRC_TLFRQ,MRC_FAM,MRC_AOA,LWV_DOLVL,LWV_PCTCOR,MRC_CNC,MRC_IMG
NA,Word12_VB_dehort,1,NULL,NULL,NULL,12,dehort,rare,VB,To urge to abstain or refrain; to dissuade.,Webster's (via onelook),NA,NA,,,,,discourage,NA,NA,NA,NA,NA,dissuade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word13_AJ_draffish,1,NULL,NULL,NULL,13,draffish,rare,AJ,Worthless; draffy.,Webster's (via onelook),NA,NA,,,,,worthless,NA,NA,NA,NA,NA,useless,NA,NA,NA,NA,NA,otiose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word14_NN_enation,1,NULL,NULL,NULL,14,enation,rare,NN,a natural projection or outgrowth from a plant body or organ,WordNet (via onelook.com),NA,NA,,,,,bump,NA,NA,NA,NA,NA,protrusion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word15_NN_encraty,1,NULL,NULL,NULL,15,encraty,rare,NN,the control of one's desires and actions,Collins Dictionary,NA,NA,,,,,will,NA,NA,NA,NA,NA,discipline,NA,NA,NA,NA,NA,temperance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word16_AJ_ennomic,1,NULL,NULL,NULL,16,ennomic,rare,AJ,lawful; legal,Phrontistry (http://phrontistery.info),NA,NA,,,,,lawful,NA,NA,NA,NA,NA,legal,NA,NA,NA,NA,NA,permissible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word17_AJ_derisive,1,NULL,NULL,NULL,17,derisive,Tier2_hard,AJ,expressing extreme contempt,WordNet (via onelook.com),NA,NA,,,,,mean,NA,NA,NA,NA,NA,scornful,NA,NA,NA,NA,NA,contemptful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word18_AJ_esculent,1,NULL,NULL,NULL,18,esculent,rare,AJ,"Suitable to be used by man for food; eatable; edible; as, esculent plants; esculent fish.",Webster's (via onelook),NA,NA,,,,,eatable,NA,NA,NA,NA,NA,edible,NA,NA,NA,NA,NA,comestible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word19_AJ_featous,1,NULL,NULL,NULL,19,featous,rare,AJ,shapely; well-made; handsome; neat,Phrontistry (http://phrontistery.info),NA,NA,,,,,handsome,NA,NA,NA,NA,NA,attractive,NA,NA,NA,NA,NA,aesthetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word20_NN_frith,1,NULL,NULL,NULL,20,frith,rare,NN,peaceful place; A forest; a woody place.,Webster's (via onelook),NA,NA,,,,,peace,NA,NA,NA,NA,NA,tranquility,NA,NA,NA,NA,NA,serenity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word21_VB_deviate,1,NULL,NULL,NULL,21,deviate,Tier2_hard,VB,"to start doing something different from what is expected or agreed (""Try not to deviate too much from the script."")",Macmillan (via onelook.com),NA,NA,,,,,depart,NA,NA,NA,NA,NA,digress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word22_NN_gramercy,1,NULL,NULL,NULL,22,gramercy,rare,NN,"A word formerly used to express thankfulness, with surprise; many thanks.",Webster's (via onelook),NA,NA,,,,,thanks,NA,NA,NA,NA,NA,gratitude,NA,NA,NA,NA,NA,appreciation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word23_AJ_impavid,1,NULL,NULL,NULL,23,impavid,rare,AJ,Fearless,Webster's (via onelook),NA,NA,,,,,brave,NA,NA,NA,NA,NA,courageous,NA,NA,NA,NA,NA,intrepid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word24_AJ_incult,NA,NULL,NULL,NULL,24,incult,rare,AJ,Untilled; uncultivated; crude; rude; uncivilized.,Webster's (via onelook),NA,NA,,,,,rude,NA,NA,NA,NA,NA,vulgar,NA,NA,NA,NA,NA,uncouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word25_AJ_infandous,1,NULL,NULL,NULL,25,infandous,rare,AJ,Too odious to be expressed or mentioned.,Webster's (via onelook),NA,NA,,,,,bad,NA,NA,NA,NA,NA,terrible,NA,NA,NA,NA,NA,odious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word26_AJ_avaricious,1,NULL,NULL,NULL,26,avaricious,Tier2_hard,AJ,"immoderately desirous of acquiring e.g. wealth (""They are avaricious and will do anything for money"")",WordNet (via onelook.com),NA,NA,,,,,greedy,NA,NA,NA,NA,NA,acquisitive,NA,NA,NA,NA,NA,rapacious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word27_AJ_iracund,1,NULL,NULL,NULL,27,iracund,rare,AJ,irascible; choleric.,Webster's (via onelook),NA,NA,,,,,grouchy,NA,NA,NA,NA,NA,surly,NA,NA,NA,NA,NA,cantankerous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word28_NN_jactancy,1,NULL,NULL,NULL,28,jactancy,rare,NN,A boasting; a bragging.,Webster's (via onelook),NA,NA,,,,,bragging,NA,NA,NA,NA,NA,boasting,NA,NA,NA,NA,NA,bravado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word29_NN_kippage,1,NULL,NULL,NULL,29,kippage,rare,NN,a state of anger or excitement,Collins Dictionary,NA,NA,,,,,anger,NA,NA,NA,NA,NA,consternation,NA,NA,NA,NA,NA,vexation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word30_AJ_latitant,1,NULL,NULL,NULL,30,latitant,rare,AJ,Lying hid; concealed; latent.,Webster's (via onelook),NA,NA,,,,,hidden,NA,NA,NA,NA,NA,concealed,NA,NA,NA,NA,NA,covered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word31_NN_legerity,1,NULL,NULL,NULL,31,legerity,rare,NN,the gracefulness of a person or animal that is quick and nimble,WordNet (via onelook.com),NA,NA,,,,,flexibility,NA,NA,NA,NA,NA,agility,NA,NA,NA,NA,NA,gracefulness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word32_VB_assimilate,1,NULL,NULL,NULL,32,assimilate,Tier2_hard,VB,"become similar to one's environment (""Immigrants often want to assimilate quickly"")",WordNet (via onelook.com),"make similar (""This country assimilates immigrants very quickly"")",WordNet (via onelook.com),,,,,adjust,NA,NA,NA,NA,NA,accommodate,NA,NA,NA,NA,NA,adapt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word33_AJ_lepid,1,NULL,NULL,NULL,33,lepid,rare,AJ,Pleasant; jocose.,Webster's (via onelook),NA,NA,,,,,nice,NA,NA,NA,NA,NA,pleasant,NA,NA,NA,NA,NA,congenial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word34_AJ_lissome,1,NULL,NULL,NULL,34,lissome,rare,AJ,thin and graceful,Macmillan (via onelook.com),NA,NA,,,,,flexible,NA,NA,NA,NA,NA,limber,NA,NA,NA,NA,NA,lithe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word35_NN_lysis,1,NULL,NULL,NULL,35,lysis,rare,NN,dissolution or destruction of cells such as blood cells or bacteria,WordNet (via onelook.com),NA,NA,,,,,rotting,NA,NA,NA,NA,NA,decomposition,NA,NA,NA,NA,NA,disintegration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word36_AJ_caustic,1,NULL,NULL,NULL,36,caustic,Tier2_hard,AJ,"harsh or corrosive in tone (""Caustic jokes about political assassination, talk-show hosts and medical ethics"")",WordNet (via onelook.com),NA,NA,,,,,harsh,NA,NA,NA,NA,NA,abrasive,NA,NA,NA,NA,NA,scathing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word37_AJ_mephitic,1,NULL,NULL,NULL,37,mephitic,rare,AJ,of noxious stench from atmospheric pollution,WordNet (via onelook.com),NA,NA,,,,,stinky,NA,NA,NA,NA,NA,smelly,NA,NA,NA,NA,NA,putrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word38_AJ_brusque,1,NULL,NULL,NULL,38,brusque,Tier2_hard,AJ,"marked by rude or peremptory shortness (""Try to cultivate a less brusque manner"")",WordNet (via onelook.com),NA,NA,,,,,rude,NA,NA,NA,NA,NA,snippy,NA,NA,NA,NA,NA,peremptory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word39_VB_mundify,1,NULL,NULL,NULL,39,mundify,rare,VB,To cleanse (trans.),Webster's (via onelook),NA,NA,,,,,clean,NA,NA,NA,NA,NA,cleanse,NA,NA,NA,NA,NA,purify,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word40_AJ_nocent,1,NULL,NULL,NULL,40,nocent,rare,AJ,having a tendency to cause harm,WordNet (via onelook.com),NA,NA,,,,,harmful,NA,NA,NA,NA,NA,noxious,NA,NA,NA,NA,NA,pernicious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word41_AJ_operose,1,NULL,NULL,NULL,41,operose,rare,AJ,"Wrought with labor; requiring labor; hence, tedious; wearisome.",Webster's (via onelook),NA,NA,,,,,difficult,NA,NA,NA,NA,NA,laborious,NA,NA,NA,NA,NA,grueling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word42_AJ_oragious,1,NULL,NULL,NULL,42,oragious,rare,AJ,Stormy,Webster's (via onelook),NA,NA,,,,,stormy,NA,NA,NA,NA,NA,turbulent,NA,NA,NA,NA,NA,tempestuous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word43_AJ_orgulous,1,NULL,NULL,NULL,43,orgulous,rare,AJ,proud,Collins Dictionary,NA,NA,,,,,proud,NA,NA,NA,NA,NA,haughty,NA,NA,NA,NA,NA,supercilious,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word44_AJ_oundy,1,NULL,NULL,NULL,44,oundy,rare,AJ,Wavy; waving/ curly.,Webster's (via onelook),NA,NA,,,,,wavy,NA,NA,NA,NA,NA,curly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word45_AJ_pollent,1,NULL,NULL,NULL,45,pollent,rare,AJ,strong,Collins Dictionary,NA,NA,,,,,strong,NA,NA,NA,NA,NA,potent,NA,NA,NA,NA,NA,robust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word46_NN_plight,1,NULL,NULL,NULL,46,plight,Tier2_hard,NN,"a sad, serious, or difficult situation (""the plight of the poor/homeless/unemployed"")",Macmillan (via onelook.com),NA,NA,,,,,situation,NA,NA,NA,NA,NA,difficulty,NA,NA,NA,NA,NA,predicament,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word47_NN_perk,1,NULL,NULL,NULL,47,perk,Tier2_hard,NN,"a benefit or advantage that you get from a situation (""At 15 I looked forward to the perks of adult life."")",Macmillan (via onelook.com),NA,NA,,,,,reward,NA,NA,NA,NA,NA,gratuity,NA,NA,NA,NA,NA,perquisite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word48_VB_purloin,1,NULL,NULL,NULL,48,purloin,Tier2_hard,VB,"to steal something secretly, especially to use it yourself for a short time",Macmillan (via onelook.com),NA,NA,,,,,steal,NA,NA,NA,NA,NA,take,NA,NA,NA,NA,NA,swipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word49_VB_repine,1,NULL,NULL,NULL,49,repine,rare,VB,express discontent,WordNet (via onelook.com),NA,NA,,,,,complain,NA,NA,NA,NA,NA,kvetch,NA,NA,NA,NA,NA,grouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word50_VB_roodge,1,NULL,NULL,NULL,50,roodge,rare,VB,to push or lift with effort,Phrontistry (http://phrontistery.info),NA,NA,,,,,move,NA,NA,NA,NA,NA,hoist,NA,NA,NA,NA,NA,heave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word51_VB_languish,1,NULL,NULL,NULL,51,languish,Tier2_hard,VB,"to fail to be successful or to improve (""Oil prices continue to languish at $10.79 a barrel."")",Macmillan (via onelook.com),NA,NA,,,,,weaken,NA,NA,NA,NA,NA,wane,NA,NA,NA,NA,NA,deteriorate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word52_NN_susurrus,1,NULL,NULL,NULL,52,susurrus,rare,NN,the indistinct sound of people whispering,WordNet (via onelook.com),NA,NA,,,,,whisper,NA,NA,NA,NA,NA,murmur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word53_VB_swink,1,NULL,NULL,NULL,53,swink,rare,VB,toil; slave,Webster's (via onelook),NA,NA,,,,,work,NA,NA,NA,NA,NA,toil,NA,NA,NA,NA,NA,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word54_VB_glower,1,NULL,NULL,NULL,54,glower,Tier2_hard,VB,to look angrily at someone,Macmillan (via onelook.com),NA,NA,,,,,frown,NA,NA,NA,NA,NA,scowl,NA,NA,NA,NA,NA,grimace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word55_AJ_thrasonic,1,NULL,NULL,NULL,55,thrasonic,rare,AJ,"bragging; boastful (another word for ""thrasonical"")",Collins Dictionary,NA,NA,,,,,proud,NA,NA,NA,NA,NA,haughty,NA,NA,NA,NA,NA,arrogant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word56_AJ_torvous,1,NULL,NULL,NULL,56,torvous,rare,AJ,Sour of aspect; of a severe countenance; stern; grim.,Webster's (via onelook),NA,NA,,,,,mean,NA,NA,NA,NA,NA,stern,NA,NA,NA,NA,NA,grim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word57_AJ_dubious,1,NULL,NULL,NULL,57,dubious,Tier2_hard,AJ,"not completely good, safe, or honest (""I hear he has a dubious reputation in the business.""; ""The story seemed a bit dubious to me."")",Macmillan (via onelook.com),NA,NA,,,,,fishy,NA,NA,NA,NA,NA,doubtful,NA,NA,NA,NA,NA,dubitable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word58_AJ_vagient,1,NULL,NULL,NULL,58,vagient,rare,AJ,Crying like a child.,Webster's (via onelook),NA,NA,,,,,crying,NA,NA,NA,NA,NA,wailing,NA,NA,NA,NA,NA,inconsolable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word59_AJ_verecund,1,NULL,NULL,NULL,59,verecund,rare,AJ,Bashful; modest.,Webster's (via onelook),NA,NA,,,,,shy,NA,NA,NA,NA,NA,bashful,NA,NA,NA,NA,NA,timid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word60_VB_adhere,1,NULL,NULL,NULL,60,adhere,Tier2_hard,VB,"fig. -- follow through or carry out a plan without deviation (""They adhered to their plan"")",WordNet (via onelook.com),"lit. -- stick to firmly (""Will this wallpaper adhere to the wall?"")",NA,,,,,stick,NA,NA,NA,NA,NA,conform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
current sentences do not use as word was originally used,Word61_NN_wanion,1,NULL,NULL,NULL,61,wanion,rare,NN,"plague, vengeance —used in the phrase with a wanion",Merriam-Webster (11th ed.),NA,NA,,,,,trouble,NA,NA,NA,NA,NA,misfortune,NA,NA,NA,NA,NA,adversity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word65_VB_maffick,1,NULL,NULL,NULL,65,maffick,rare,VB,(intransitive) British archaic to celebrate extravagantly and publicly,Macmillan (via onelook.com),NA,NA,,,,,play,NA,NA,NA,NA,NA,frolic,NA,NA,NA,NA,NA,cavort,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word66_VB_labefy,1,NULL,NULL,NULL,66,labefy,rare,VB,To weaken or impair (trans),Webster's (via onelook),NA,NA,,,,,weaken,NA,NA,NA,NA,NA,erode,NA,NA,NA,NA,NA,deteriorate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word67_NN_cunctation,1,NULL,NULL,NULL,67,cunctation,rare,NN,procrastinating; putting off or delaying or deferring an action to a later time,WordNet (via onelook.com),NA,NA,,,,,delay,NA,NA,NA,NA,NA,postponement,NA,NA,NA,NA,NA,procrastination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word68_VB_traduce,1,NULL,NULL,NULL,68,traduce,rare,VB,speak unfavorably about,WordNet (via onelook.com),NA,NA,,,,,insult,NA,NA,NA,NA,NA,slander,NA,NA,NA,NA,NA,malign,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word69_NN_cacogen,1,NULL,NULL,NULL,69,cacogen,rare,NN,antisocial person,Phrontistry (http://phrontistery.info),NA,NA,,,,,loner,NA,NA,NA,NA,NA,hermit,NA,NA,NA,NA,NA,recluse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word70_AJ_gallionic,1,NULL,NULL,NULL,70,gallionic,rare,AJ,uncaring; indifferent,Phrontistry (http://phrontistery.info),NA,NA,,,,,uncaring,NA,NA,NA,NA,NA,indifferent,NA,NA,NA,NA,NA,apathetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word71_VB_gloaming,1,NULL,NULL,NULL,71,gloaming,rare,VB,the time of the evening when it is becoming dark,Macmillan (via onelook.com),NA,NA,,,,,evening,NA,NA,NA,NA,NA,dusk,NA,NA,NA,NA,NA,twilight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word72_NN_afflatus,NA,NULL,NULL,NULL,72,afflatus,rare,NN,"a strong creative impulse; divine inspiration (""Divine afflatus"")",WordNet (via onelook.com),NA,NA,,,,,idea,NA,NA,NA,NA,NA,insight,NA,NA,NA,NA,NA,epiphany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word73_NN_viridity,1,NULL,NULL,NULL,73,viridity,rare,NN,fig. -- naive innocence,Merriam-Webster (11th ed.),lit. -- the quality or state of being green,Merriam-Webster (11th ed.),,,,,youth,NA,NA,NA,NA,NA,inexperience,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word74_NN_cecity,1,NULL,NULL,NULL,74,cecity,rare,NN,lack of sight,WordNet (via onelook.com),NA,NA,,,,,blindness,NA,NA,NA,NA,NA,myopia,NA,NA,NA,NA,NA,myopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word75_NN_conteck,1,NULL,NULL,NULL,75,conteck,rare,NN,strife,Phrontistry (http://phrontistery.info),NA,NA,,,,,fighting,NA,NA,NA,NA,NA,strife,NA,NA,NA,NA,NA,discord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word76_AJ_dioristic,1,NULL,NULL,NULL,76,dioristic,rare,AJ,Distinguishing; distinctive; defining.,Webster's (via onelook),NA,NA,,,,,special,NA,NA,NA,NA,NA,distinctive,NA,NA,NA,NA,NA,defining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Word77_AJ_raffish,1,NULL,NULL,NULL,77,raffish,rare,AJ,"a raffish person behaves in a confident and sometimes slightly shocking way, but in a way that is also attractive",Macmillan (via onelook.com),NA,NA,,,,,hip,NA,NA,NA,NA,NA,cool,NA,NA,NA,NA,NA,bohemian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
